At 2019-01-24 05:25:31 Save Data：
Time_ms Input Output OutputUc
280 1824 3344 -11708
281 1630 3301 -12879
282 1458 2998 -11275
283 1311 3030 -12816
284 1190 2753 -11064
285 1097 2647 -10785
286 1035 2621 -11056
287 1003 2301 -8140
288 1003 2382 -8980
289 1035 2129 -6223
290 1097 2123 -5677
291 1190 2042 -4133
292 1311 1915 -1907
293 1458 1994 -1509
294 1630 1883 981
295 1824 1853 3378
296 2036 2097 2635
297 2263 2440 990
298 2502 2150 5384
299 2749 1797 10919
300 3000 2297 7969
301 3250 1814 13107
302 3497 2456 10444
303 3736 2068 13107
304 3963 2503 13107
305 4175 2438 13107
306 4369 2523 13107
307 4541 2796 13107
308 4688 2710 13107
309 4809 3026 13107
310 4902 2977 13107
311 4964 3226 13107
312 4996 3181 13107
313 4996 3444 12999
314 4964 3445 12760
315 4902 3615 10573
316 4809 3615 9836
317 4688 3761 7408
318 4541 3744 6390
319 4369 3926 3187
320 4175 3800 2878
321 3963 4018 -582
322 3736 3847 -759
323 3497 3788 -2515
324 3250 3599 -2630
325 2999 3341 -2097
326 2749 3846 -9205
327 2502 3834 -11104
328 2263 3413 -8857
329 2036 3814 -13107
330 1824 3199 -10326
331 1630 3328 -13107
332 1458 3149 -12847
333 1311 2846 -11051
334 1190 3000 -13107
335 1097 2558 -9962
336 1035 2626 -11175
337 1003 2438 -9583
338 1003 2213 -7357
339 1035 2321 -8202
340 1097 1921 -3722
341 1190 2156 -5344
342 1311 1873 -1541
343 1458 1926 -887
344 1630 2030 -545
345 1824 1826 3456
346 2036 2004 3410
347 2263 2331 1966
348 2502 2350 3765
349 2749 1616 12678
350 3000 2423 6654
351 3250 1830 13107
352 3497 2299 11960
353 3736 2309 13107
354 3963 2359 13107
355 4175 2604 13107
356 4369 2473 13107
357 4541 2821 13107
358 4688 2772 13107
359 4809 2989 13107
360 4902 3001 13107
361 4964 3194 13107
362 4996 3227 13107
363 4996 3403 13107
364 4964 3443 12729
365 4902 3616 10511
366 4809 3604 9901
367 4688 3814 6832
368 4541 3730 6484
369 4369 3937 3031
370 4175 3794 2900
371 3963 3958 -26
372 3736 3905 -1396
373 3497 3754 -2217
374 3250 3575 -2439
375 2999 3400 -2734
376 2749 3954 -10324
377 2502 3607 -8872
378 2263 3647 -11232
379 2036 3579 -12425
380 1824 3207 -10444
381 1630 3414 -13107
382 1458 2962 -11015
383 1311 2999 -12620
384 1190 2812 -11756
385 1097 2572 -10137
386 1035 2680 -11750
387 1003 2276 -7998
388 1003 2393 -9193
389 1035 2107 -6101
390 1097 2061 -5160
391 1190 2102 -4837
392 1311 1867 -1520
393 1458 1986 -1523
394 1630 1951 211
395 1824 1905 2596
396 2036 2019 3183
397 2263 2303 2178
398 2502 2289 3909
399 2749 1578 13023
400 3000 2540 5447
401 3250 1577 13107
402 3497 2408 10838
403 3736 2147 13107
404 3963 2325 13107
405 4175 2596 13107
406 4369 2392 13107
407 4541 2838 13107
408 4688 2678 13107
409 4809 2991 13107
410 4902 2869 13107
411 4964 3246 13107
412 4996 3128 13107
413 4996 3442 12949
414 4964 3395 13107
415 4902 3636 10293
416 4809 3521 10707
417 4688 3865 6300
418 4541 3585 7916
419 4369 4053 1845
420 4175 3626 4549
421 3963 3899 479
422 3736 4091 -3661
423 3497 3639 -758
424 3250 3400 -421
425 2999 3566 -4410
426 2749 3964 -10442
427 2502 3497 -7796
428 2263 3710 -11886
429 2036 3512 -11774
430 1824 3256 -10959
431 1630 3421 -13107
432 1458 2915 -10573
433 1311 2998 -12627
434 1190 2815 -11806
435 1097 2582 -10254
436 1035 2641 -11387
437 1003 2303 -8288
438 1003 2362 -8899
439 1035 2120 -6248
440 1097 2080 -5367
441 1190 2080 -4628
442 1311 1861 -1479
443 1458 2011 -1790
444 1630 1883 873
445 1824 1821 3350
446 2036 2056 2714
447 2263 2377 1312
448 2502 2335 3724
449 2749 1586 12932
450 3000 2447 6365
451 3250 1632 13107
452 3497 2378 11121
453 3736 2163 13107
454 3963 2392 13107
455 4175 2613 13107
456 4369 2379 13107
457 4541 2769 13107
458 4688 2723 13107
459 4809 3000 13107
460 4902 2963 13107
461 4964 3237 13107
462 4996 3167 13107
463 4996 3441 12945
464 4964 3396 13107
465 4902 3670 9938
466 4809 3480 11102
467 4688 3936 5575
468 4541 3497 8785
469 4369 4142 948
470 4175 3609 4708
471 3963 3789 1541
472 3736 4129 -4055
473 3497 3757 -2276
474 3250 3437 -798
475 2999 3416 -2928
476 2749 4071 -11524
477 2502 3432 -7160
478 2263 3729 -12087
479 2036 3508 -11742
480 1824 3225 -10661
481 1630 3426 -13107
482 1458 2915 -10578
本次调试备注：已加入前馈.
